prompt,completion,preds
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I wish #OliviaPope could run @HillaryClinton 's campaign... #Scandal #livisreal
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hey Hillary Clinton...How's things working out on #Servergate? Bury enough evidence yet?    #tcot
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Republican on facebook said :If it comes down to a choice between Donald Trump and Hillary,  I'm not voting!
""""""
","Clinton, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton Many of us r near ruin! #SaveTheMiddleClass #PresidentHillaryClinton #StopOutSourcing
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

"""""".@politicoroger It is 2015. You and the other high minded media are not more important than then story. Have a seat.
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I'm 19 years old and care about politics and elections.... I feel like I'm 67 years old
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I support Bernie on account USA needs a new direction but, if he loses in primary ,I'll support Hillary Clinton. #Sanders2016
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@gabriellahope_ @HillaryClinton Does the general public trust her enough to be President? Don't think so.
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@hughhewitt like I tweeted you way back when, #ACA software can be fixed , but GOP strategic mistake of 'repeal' can't be fixed
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Just ordered my Chillary Clinton Koozies. Gotta support the team.
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#CarlyFiorina on #hannity, very impressive. A serious presidential candidate vs. A bad actress.
""""""
","Clinton, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Let's shatter the glass ceiling! - @GerryConnolly #VAdems
""""""
","Clinton, None","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@theblaze If you think Hillary isn't taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Amazing, inspiring speech&question session in Iowa City from @HillaryClinton .Her answers on education&health care were clear.
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Just met an awesome supporter on the CX bus! He said ""Hillary is one strong woman and we need that for our country."" #FellowsNV
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Who's monica Lewinsky's favorite football player? Ha-Ha Clinton Dix 
""""""
","Clinton, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Save an intern.... Keep Bill & Hillary out of the White House. 
""""""
","Clinton, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

"""""".@HillaryClinton The spatula seems appropriate, given that it can be used to easily flip positions if the heat gets to high.
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Will the media ever get real with Hillary? #2016 #Benghazi #Clinton
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@jilevin @strumpetcity Yes. You make me proud. Socialism is the answer, which leads to communism. We will succeed.
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Great convo last night w/ @schoolbus_soul & @zaksteib Great connections in #Waverly & on my #turf! #FellowsIA #CommitToCaucus
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#CPC thinks they can run antisocial personal attack advertising on #socialmedia! LOL! #cdnpoli #StopHarper #FeelTheBern #fnpoli
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@theblaze  Heaven forbid anyone invade the space of the Queen of Lies. -_-
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton @ca_hillary stand on the right side
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Clinton entitlement is the proverbial American hemorrhoid #tcot #Opinionated
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""This is not her first time at the rodeo!  @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Laughing at the Republican Party. The BEST they can offer is #DonaldTrump and #JebBush?   #HillaryClinton has got this!
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants.
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@awj9009 not at all I think the statute of limitations has expired plus I can always have a driver ala
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Make sure to make it to the Brew House in Pella, IA tomorrow @ 3 to meet with @HillaryClinton supporters!
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HRCSnowShovel it must be hard work burying the @HillaryClinton anti-LGBT rights record #LoveWins #FeelTheBern
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryIn2016 hey I just checked your blog. Kudos! Keep it up!
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Jeanelynn Thank you so much for the follow and the FAV, Jeane!!!  Gods' best to you! #WakeUpAmerica
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""The biggest dumps of bad info is b4 a holiday weekend. What comes out of WH and state dept today? #HillaryEmails  #LiarLiar
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@_Holly_Renee I want to fav this tweet....cause it's hilarious. But I give no support to #HillaryClinton
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""My vote is definitely for Hillary. I don't want Bush's dumb ass. Don't want Trump either.  #HillaryClinton
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton
""""""
","Clinton, Favor","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Much like you good people I forgot about my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""You can't grow an economy from the bottom up. If she gets in, we're ALL in trouble
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""We can't expect change if we continue to vote for the same people. You have to take a chance 4yrs is not that long #Bernie2016
""""""
","Clinton, Against","Bernie Sanders, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Take it easy Ed, #BernieSanders is a side show. Democrats are having some fun before getting back to reality in Nov 2016. 
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@AlyssSmithh There she is pant suite Hillary to hide those thighs #HillarysDonors #HillarysBigAnnouncement #Benghazi #Obama
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton @WomenintheWorld we need to re-establish a #global system dominated by love and affection have #moral_humane RT
""""""
","Clinton, Favor","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@oreillyfactor Who gives a rate ass what a Old Queen has to say about Clarence Thomas?
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al.  #NoObamaThirdTerm
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump @MalachiNorris lol!!!!  That is one of the funniest things I've heard in a while!!!! 
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I think I am going to vote for Monica Lewinsky's Ex- boyfriends Wife
""""""
","Clinton, Favor","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton will pick @SenWarren for VP -Mark my tweet. #UnstoppableTicket #ElizabethWarren
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Every time the republicans move to the middle, the liberals move the middle further to the left.
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""All Americans have value to our society, it's called a vote. #LiberalLogic    #InternationalJokeDay
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? @MauraReynolds @politico
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""marijuana? marijuaage equality?? coincidence i think nOT!!11!
""""""
","Clinton, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hillary Clinton has amassed $329 million in her career (3 of her top 5 donors are Citigroup, Goldman & JP Morgan). #Bernie2016
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton Did you feel same about #BillClinton's latest assault of teen girl? #hypocrite #HillaryClinton #Hillary_2016_NO
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If a man demanded staff to get him an ice tea he'd be called a sexists elitist pig.. Oink oink #Hillary
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Callisto1947 @texasman2008 @AmyMek Hillary's new Campaign Slogan:  HILLARY - NOTHING TO HIDE EXCEPT THE TRUTH !!!  #TCOT #CCOT
""""""
","Clinton, Against","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers
""""""
","Clinton, Favor","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@BarackObama thanks for selling out all the workers who voted for you for pushing FastTrack #sellout
""""""
","Clinton, None","Obama, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@TIMENOUT Is there anything about the Clintons that is not fraudulent?
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""My birthday is on July 24th, if anyone needs a gift idea #ChillaryClinton
""""""
","Clinton, Against","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions. 
""""""
","Clinton, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Too far @realDonaldTrump. That's just too fucking far. #BaltimoreUprising #Obama
""""""
","Clinton, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@CNN One would hope everyone would be fired up over such a blatant lie
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@CoachDLG515 @Retired36 I'm glad that you will now slice all round. 
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I am a big HILLARY Clinton supporter. My plan is working, poor Donnie doesn't even know. #Trump2016
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HillaryClinton Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@readyforHRC   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Too many women in too many countries speak the same language  of silence. HILLARY CLINTON #HillaryCliton #Hillary4Women
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Thanks @izzybugatti for participating! WE are lucky to have YOU here in Iowa. #FellowsIA
""""""
","Clinton, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@FoxNews @GovChristie @HillaryClinton Actually she should be disqualified from running!How many scams and ethics problems now?
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@chriswallace There may be 2000 nutjobs of that number and all they need to do is find eachother. The net has given that #FNS
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump Just watched you on @FoxNews. You are awesome! You have my vote! #MakeAmericaGreatAgain
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""My Message To LGBT Rights Supporters: If You Hate America, Please Leave.
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@boxxers06 This may be true. However, many Americans also travel to these and other places to do the exact same thing. 
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""of the many @realDonaldTrump racist comments, this one takes the prize!  ""Laziness is a trait in blacks."" 
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I get SO HEATED seeing treasonous libtards defending Ed Snowden. He is a TRAITOR and should be hung. #tcot #tlot #ccot
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Greece.... Bernie Sanders school of economics #greta
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought! 
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@kupajo33 @ChrisChristie we don't need him!
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Of course @TheJuanWilliams is completely wrong on the @SCOTUS ruling on #obamacare . @MichelleFields is right!
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@RealJamesWoods @LoriBlaney My parents warned me to stay away from anyone offering free candy. NOTHING is ever free. 
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""What are your favorite conservative blog sites and why?  #tcot #RedNationRising #CulturalRot
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Hey guise. Any recommendation for a good taco place in midtown? #Trump
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@haleyelenaa and his favourite beaches are probably in Acapulco and Cabo 
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@lemurdue77 Hey friend. That's not nice 
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""You have to wonder if Hillary will attempt to replace #ObamaCare with #HillaryCare. #tcot @realDonaldTrump
""""""
","Trump, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Stop thinking you can walk around talking reckless in the end it will bite you in the ass #Dontjudgeme
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@kilmeade @briankilmeade Obviously military industrial complex has an interest in sustained conflict War=sales #Libertarian
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""OMG! .@KirstenPowers Practically states Whites are more racist than Blacks because Whites are oppressing Blacks. WHERE? WTF?
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""This country needs a President to take control, cut through the BS, and speak the truth! #truthhurts @realDonaldTrump
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#Trump is ruining a party quicker than the police! #gop
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ProfessorF @JessicaTarlov And deluded shows and ""news"" reporters are not?! 
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""What does Ivana, NBC, Univision, Gemini's, and Macy's have in common?  Answer: They all dropped
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If the Obama cabinet was on the apprentice who would you fire?  Kerry was the answer. #talkcityclub
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I would vote for @realDonaldTrump if he had a hilariously oversized head, I'm talking 2x size of his body
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Wondering who is going to make your suites now. @realDonaldTrump  Maybe the rapist and killers you speak about will.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something.
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ouchinagirl @TrumpNY2016 @GOP TRUMP FOR PRESIDENT AS HE DOESN'T MINCE WORDS!!!!
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Healthcare in America must be fixed. Women are everything.  #TeamJason 
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that.
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""You can get Mooch's lunch, lib indoc, condoms, BC & abortions at schools today; wow, everything but an education. #PJNET
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Watching what Donald Trump said about Mexicans was shocking! Let's not give this appalling man a platform.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Blessed is the nation whose God is Lord. Psalm 33:12
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Liberals do not like that @realDonaldTrump is moving up in the polls. #MakeAmericaGreatAgain #TheGreatWallofMexico
""""""
","Trump, Favor","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ProfessorF You have plenty of phones, internet access, cars, TVs, houses, etc. all courtesy of taxpayers.. er.. government!
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@GOP If you can not debate Trump, you should not be running for president. #backurbase.
""""""
","Trump, Favor","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump: We have got to take our country back. It's time! Win it Mr. Trump
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If my only impression of the US was Donald Trump, I think I would hate it.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""And America wants to protest a silly flag but lets pro athletes get away with shit like that
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HnstyNgov @FoxBusiness @realDonaldTrump Meanwhile no Democrat running has given anyone anywhere a job. Other Repubs just as bad.
""""""
","Trump, Against","None, None"
